,VISIT_AREA_NM,LOTNO_ADDR,X_COORD,Y_COORD,VISIT_AREA_TYPE_CD
0,3000냥밥집,충북 영동군 영동읍 계산리 653-12,127.7857327,36.17141992,11
1,소노캄여수 마레첼로,전남 여수시 수정동 772,127.7546153,34.74257179,11
2,생거진천문화축제,충북 진천군 진천읍 읍내리 165,127.4462353,36.85878871,8
3,오목대,전북 전주시 완산구 교동 산 1-3,127.1545834,35.81438191,2
4,남당노을전망대,충남 홍성군 서부면 남당리 767-18,126.4655818,36.5443426,1
5,추정리메밀밭,충북 청주시 상당구 낭성면 추정리 339-2,127.6094088,36.58069154,1
6,유성구 종합사회복지관 수영장,대전 유성구 봉명동 451-5,127.339593,36.35292897,6
7,한멘뚝배기,대전 동구 성남동 496-2,127.4359913,36.34852481,11
8,만리장성,전북 무주군 설천면 삼공리 365,127.7813712,35.90590031,11
9,올드브릭,전북 전주시 완산구 동서학동 849-56,127.1601831,35.80763675,11
10,양방산전망대,충북 단양군 단양읍 기촌리 354-2,128.3817965,36.9682947,1
11,황산대첩비,전북 남원시 운봉읍 화수리 341,127.5617269,35.45787925,2
12,몽중산다원,전남 보성군 보성읍 봉산리 1212-5,127.0882942,34.7198036,1
13,옛날우렁이식당,충남 당진시 신평면 신흥리 42-26,126.8020332,36.87921359,11
14,대금숯불갈비,경북 영주시 휴천동 320-17,128.6238423,36.81068063,11
15,카페샵오팔,충북 충주시 지현동 989-2,127.9297436,36.96552326,11
16,전동성당,전북 전주시 완산구 전동 200-1,127.1492215,35.8133288,2
17,미가칼국수,전남 여수시 덕충동 2048-7,127.743447,34.75142006,11
18,전동성당,전북 전주시 완산구 전동 200-1,127.1492215,35.8133288,2
19,의림지파크랜드,충북 제천시 모산동 236-1,128.2086214,37.17509314,6
20,무등산 리프트모노레일,광주 동구 지산동 산 63-1,126.9474422,35.14892702,13
21,성심당문화원,대전 중구 은행동 158-1,127.4273966,36.32708986,11
22,전주한옥마을,전북 전주시 완산구 풍남동3가 64-1,127.1525571,35.81482431,7
23,청주흥덕사지,충북 청주시 흥덕구 운천동 866,127.4722675,36.64368294,2
24,양자강,전북 정읍시 수성동 668-1,126.8572999,35.56661326,11
25,전동성당,전북 전주시 완산구 전동 200-1,127.1492215,35.8133288,2
26,운림산방,전남 진도군 의신면 사천리 61,126.3085326,34.46637343,2
27,철길마을,전북 군산시 경암동 636-17,126.7304764,35.98130802,7
28,베테랑,전북 전주시 완산구 교동 84-10,127.1514303,35.81345582,11
29,모던하우스 제천점,충북 제천시 동현동 198-1,128.2209552,37.1284677,4
30,하소천길,충청북도 제천시 신월동,128.1963747,37.1496269,7
31,여수세계박람회 스카이타워,전남 여수시 덕충동 2001-2,127.7501159,34.75268077,11
32,마중,전북 전주시 완산구 고사동 432-3,127.143109,35.81814536,11
33,엔제리너스 광주무등산점,광주 동구 운림동 379-1,126.9553099,35.13424248,11
34,장다리마늘약선,충북 단양군 단양읍 별곡리 28-1,128.3681948,36.98955038,11
35,태웅식당,전남 해남군 삼산면 구림리 140-8,126.6172298,34.49548022,11
36,킨지 세종점,세종특별자치시 새롬동 578,127.2509972,36.48663791,11
37,국립무형유산원,전북 전주시 완산구 동서학동 896-1,127.1596594,35.80965266,3
38,대천항수산시장,충남 보령시 신흑동 2240-6,126.508703,36.32649824,4
39,땅끝해양자연사박물관,전남 해남군 송지면 송호리 1123-3,126.5296516,34.30129174,2
40,땅끝횟집,전남 해남군 송지면 송호리 1127,126.528713,34.29819066,11
41,백제문화단지,충남 부여군 규암면 합정리 530,126.9066735,36.30631527,2
42,솜씨만두,전북 정읍시 시기동 356-1,126.855935,35.56496407,11
43,베이커리밤마을,충남 공주시 금성동 184-4,127.1230056,36.46475463,7
44,단편,전남 곡성군 오곡면 오지리 1238-2,127.3104951,35.27562699,11
45,궁전제과 두암점,광주 북구 두암1동 882-26,126.9241469,35.17167941,4
46,공세리성당,충남 아산시 인주면 공세리 194-1,126.9140749,36.88340597,2
47,성심당 DCC점,대전 유성구 도룡동 4-19,127.3923467,36.37515073,11
