,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
0,a_a000202,충남 당진시 신평면 운정리 208-1,0.0,6,1,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;
1,a_a000202,충남 천안시 동남구 목천읍 남화리 230-1,0.0,2,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;
2,a_a000202,충남 천안시 동남구 성남면 용원리 672,0.0,6,1,2.0,3.0,3.0,2.6667,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;
3,a_a000273,충남 보령시 명천동 765-40,0.0,5,0,4.0,4.0,4.0,4.0,12.0,3.0,1.0,10.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,0
4,a_a000319,전라남도 강진군 성전면,0.0,1,1,4.0,4.0,3.0,3.6667,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
5,a_a000319,광주 광산구 수완동 128-106,0.0,5,0,5.0,5.0,5.0,5.0,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
7,a_a000319,전남 강진군 강진읍 남성리 24-28,0.0,4,1,5.0,5.0,5.0,5.0,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
8,a_a000319,전남 영암군 신북면 모산리,0.0,7,1,4.0,4.0,3.0,3.6667,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
9,a_a000777,전남 순천시 덕암동 227-1,0.0,4,0,2.0,3.0,3.0,2.6667,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
10,a_a000777,전남 순천시 대대동 162-2,0.0,1,0,5.0,5.0,5.0,5.0,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
11,a_a000777,전남 순천시 오천동 600,0.0,1,0,5.0,5.0,5.0,5.0,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
12,a_a001091,충북 충주시 중앙탑면 탑평리 11,0.0,1,1,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
13,a_a001091,충북 충주시 살미면 토계리,0.0,1,0,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
14,a_a001146,충남 태안군 소원면 모항리 1358,0.0,1,1,3.0,3.0,4.0,3.3333,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
15,a_a001146,충남 태안군 소원면 의항리 868,0.0,1,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
16,a_a001146,충남 태안군 소원면 모항리 1358,0.0,1,1,5.0,4.0,4.0,4.3333,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
17,a_a001146,충남 태안군 소원면 모항리 1358,0.0,1,1,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
23,a_a001711,충남 홍성군 홍북읍 신경리 887,0.0,2,1,5.0,4.0,5.0,4.6667,5.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,7.0,2.0,1.0,7.0,1;2;22;23;26;
24,a_a001711,충남 당진시 시곡동 67,0.0,4,0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,7.0,2.0,1.0,7.0,1;2;22;23;26;
25,a_a001711,충남 홍성군 홍북읍 신경리,0.0,1,1,4.0,4.0,5.0,4.3333,5.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,7.0,2.0,1.0,7.0,1;2;22;23;26;
26,a_a001711,충남 예산군 삽교읍 수촌리,0.0,8,0,4.0,5.0,5.0,4.6667,5.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,7.0,2.0,1.0,7.0,1;2;22;23;26;
27,a_a001849,충남 부여군 규암면 합정리 172,0.0,4,1,5.0,5.0,5.0,5.0,4.0,1.0,7.0,8.0,4.0,4.0,4.0,6.0,2.0,4.0,5.0,5.0,5.0,11;2;23;3;4;
28,a_a001849,충남 부여군 규암면 합정리 530,0.0,2,1,5.0,5.0,5.0,5.0,4.0,1.0,7.0,8.0,4.0,4.0,4.0,6.0,2.0,4.0,5.0,5.0,5.0,11;2;23;3;4;
29,a_a001916,충북 충주시 종민동,0.0,7,0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,10.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,6.0,3.0,22;25;28;8;
31,a_a002255,전남 여수시 돌산읍 평사리 1584,0.0,6,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;21;22;23;3;
32,a_a002255,전남 여수시 돌산읍 우두리 813-10,0.0,5,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;21;22;23;3;
33,a_a002569,전북 익산시 금마면 기양리 32-2,0.0,2,0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,6.0,6.0,6.0,7.0,0
34,a_a002570,충북 단양군 단양읍 도전리 615,0.0,4,0,4.0,4.0,5.0,4.3333,5.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,6.0,0
35,a_a002570,충북 제천시 청풍면 물태리 98-2,0.0,6,0,4.0,5.0,5.0,4.6667,5.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,6.0,0
36,a_a002570,충북 충주시 수안보면 온천리 796-3,0.0,13,0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,6.0,0
37,a_a002570,충북 제천시 모산동 241,0.0,13,0,4.0,3.0,4.0,3.6667,5.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,6.0,0
38,a_a002570,충북 단양군 단양읍 별곡리 569,0.0,6,0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,6.0,0
39,a_a002570,충북 단양군 단양읍 도전리 636,0.0,5,0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,6.0,0
41,a_a002623,충북 진천군 문백면 구산동리 601-32,0.0,1,0,5.0,4.0,5.0,4.6667,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
42,a_a003143,전남 완도군 완도읍 가용리 1100,0.0,4,0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,6.0,6.0,3.0,6.0,4.0,2.0,6.0,3.0,4.0,6.0,1;2;4;5;9;
43,a_a003143,전북 부안군 변산면 격포리 283-1,0.0,1,0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,6.0,6.0,3.0,6.0,4.0,2.0,6.0,3.0,4.0,6.0,1;2;4;5;9;
44,a_a003143,전남 완도군 완도읍 대신리 1089-3,0.0,2,0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,6.0,6.0,3.0,6.0,4.0,2.0,6.0,3.0,4.0,6.0,1;2;4;5;9;
45,a_a003143,전남 완도군 완도읍 군내리 1443,0.0,3,0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,6.0,6.0,3.0,6.0,4.0,2.0,6.0,3.0,4.0,6.0,1;2;4;5;9;
46,a_a003143,전남 완도군 완도읍 군내리 205-2,0.0,13,0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,6.0,6.0,3.0,6.0,4.0,2.0,6.0,3.0,4.0,6.0,1;2;4;5;9;
47,a_a003321,충남 천안시 서북구 성성동,0.0,1,0,4.0,3.0,3.0,3.3333,4.0,1.0,8.0,2.0,2.0,4.0,2.0,2.0,6.0,5.0,1.0,4.0,7.0,2;3;4;6;8;
48,a_a003321,충남 아산시 배방읍 장재리 1760,0.0,4,0,4.0,3.0,3.0,3.3333,4.0,1.0,8.0,2.0,2.0,4.0,2.0,2.0,6.0,5.0,1.0,4.0,7.0,2;3;4;6;8;
49,a_a003321,충남 아산시 장존동 185-7,0.0,4,0,2.0,1.0,1.0,1.3333,4.0,1.0,8.0,2.0,2.0,4.0,2.0,2.0,6.0,5.0,1.0,4.0,7.0,2;3;4;6;8;
50,a_a004016,충남 공주시 산성동 190-1,0.0,4,0,1.0,1.0,1.0,1.0,7.0,2.0,7.0,9.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2;3;6;
51,a_a004052,충북 충주시 소태면 복탄리 908,0.0,7,0,4.0,2.0,4.0,3.3333,2.0,3.0,1.0,10.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,7.0,0
52,a_a004052,충북 충주시 중앙탑면 탑평리 50,0.0,1,0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,10.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,7.0,0
53,a_a004984,광주 서구 풍암동 423-2,0.0,4,1,4.0,3.0,3.0,3.3333,4.0,2.0,10.0,10.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,1;27;28;
54,a_a004984,광주 북구 망월동 732-4,0.0,4,1,4.0,4.0,5.0,4.3333,4.0,2.0,10.0,10.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,1;27;28;
56,a_a005163,충남 서천군 장항읍 송림리 510,0.0,3,1,5.0,5.0,5.0,5.0,5.0,8.0,3.0,7.0,2.0,2.0,6.0,2.0,4.0,6.0,4.0,3.0,5.0,11;2;24;27;6;
57,a_a005211,충남 태안군 원북면 신두리 1414-18,0.0,1,0,3.0,3.0,3.0,3.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
58,a_a005211,충남 태안군 소원면 모항리 1358,0.0,1,1,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
59,a_a005211,충남 태안군 소원면 모항리 1358,0.0,1,1,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
60,a_a005211,충남 태안군 소원면 의항리 868,0.0,1,0,5.0,5.0,4.0,4.6667,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
61,a_a005211,충남 태안군 원북면 신두리 산 305-1,0.0,1,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
62,a_a005566,충북 청주시 상당구 낭성면 추정리 339-2,0.0,1,0,4.0,3.0,4.0,3.6667,5.0,1.0,10.0,10.0,2.0,7.0,2.0,2.0,6.0,2.0,2.0,2.0,7.0,1;4;7;
63,a_a005566,충북 청주시 청원구 내수읍 세교리 128-4,0.0,1,0,1.0,2.0,2.0,1.6667,5.0,1.0,10.0,10.0,2.0,7.0,2.0,2.0,6.0,2.0,2.0,2.0,7.0,1;4;7;
65,a_a006154,충남 공주시 금성동 65-3,0.0,2,0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,10.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3;9;1;
66,a_a006154,충남 공주시 신관동 553,0.0,8,0,4.0,3.0,3.0,3.3333,4.0,2.0,1.0,10.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3;9;1;
67,a_a006154,충남 공주시 신관동 553,0.0,2,0,4.0,3.0,3.0,3.3333,4.0,2.0,1.0,10.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3;9;1;
68,a_a006271,충남 천안시 서북구 차암동 438,0.0,4,1,5.0,5.0,5.0,5.0,8.0,8.0,3.0,10.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1;3;
