,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
0,a_a000202,충남 천안시 동남구 북면 연춘리 243-40,0.0,11,0,4.0,3.0,3.0,3.3333,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;
1,a_a000202,충남 당진시 신평면 운정리 208-1,0.0,6,1,4.0,4.0,4.0,4.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;
2,a_a000202,충남 천안시 동남구 목천읍 남화리 230-1,0.0,2,0,4.0,4.0,4.0,4.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;
3,a_a000202,충남 천안시 동남구 성남면 용원리 672,0.0,6,1,2.0,3.0,3.0,2.6667,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;
4,a_a000273,충남 보령시 명천동 765-40,0.0,5,0,4.0,4.0,4.0,4.0,12.0,3.0,1.0,10.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,0
5,a_a000273,충남 보령시 궁촌동 344-1,0.0,11,0,3.0,4.0,4.0,3.6667,12.0,3.0,1.0,10.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,0
7,a_a000319,전라남도 강진군 성전면,0.0,1,1,4.0,4.0,3.0,3.6667,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
8,a_a000319,전남 영암군 신북면 유곡리 73-9,0.0,11,0,5.0,4.0,4.0,4.3333,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
9,a_a000319,광주 광산구 수완동 128-106,0.0,5,0,5.0,5.0,5.0,5.0,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
10,a_a000319,광주 광산구 산정동 1043,0.0,11,0,4.0,4.0,4.0,4.0,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
11,a_a000319,광주 서구 치평동 1193-7,0.0,11,0,4.0,4.0,3.0,3.6667,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
12,a_a000319,전남 강진군 성전면 월평리 38-8,0.0,11,1,4.0,4.0,4.0,4.0,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
13,a_a000319,광주 광산구 우산동 1585-5,0.0,11,0,5.0,5.0,5.0,5.0,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
15,a_a000319,광주 광산구 하남동 670,0.0,11,0,4.0,4.0,3.0,3.6667,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
17,a_a000319,전남 강진군 강진읍 남성리 24-28,0.0,4,1,5.0,5.0,5.0,5.0,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
18,a_a000319,전남 영암군 신북면 모산리,0.0,7,1,4.0,4.0,3.0,3.6667,10.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,21;24;27;4;5;
19,a_a000777,전남 순천시 덕암동 227-1,0.0,4,0,2.0,3.0,3.0,2.6667,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
20,a_a000777,전남 순천시 풍덕동 285-5,0.0,11,0,5.0,5.0,5.0,5.0,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
21,a_a000777,전남 순천시 조곡동 156-11,0.0,11,0,3.0,3.0,3.0,3.0,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
22,a_a000777,전남 순천시 대대동 162-2,0.0,1,0,5.0,5.0,5.0,5.0,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
23,a_a000777,전남 순천시 조곡동 161-15,0.0,11,0,5.0,4.0,4.0,4.3333,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
24,a_a000777,전남 순천시 오천동 600,0.0,1,0,5.0,5.0,5.0,5.0,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
25,a_a000777,전남 순천시 연향동 1676-16,0.0,11,0,4.0,4.0,4.0,4.0,7.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,21;4;9;
26,a_a001091,충북 충주시 수안보면 온천리 211-1,0.0,11,0,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
27,a_a001091,충북 충주시 앙성면 조천리 295-1,0.0,11,1,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
28,a_a001091,충북 충주시 중앙탑면 탑평리 11,0.0,1,1,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
29,a_a001091,충북 충주시 살미면 토계리,0.0,1,0,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
30,a_a001091,경기 여주시 창동 68,0.0,11,1,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
31,a_a001091,충북 충주시 중앙탑면 가흥리 276-3,0.0,11,1,4.0,4.0,4.0,4.0,7.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,0
32,a_a001146,충남 태안군 소원면 모항리 1427,0.0,11,0,4.0,4.0,4.0,4.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
33,a_a001146,충남 태안군 소원면 모항리 1358,0.0,1,1,3.0,3.0,4.0,3.3333,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
34,a_a001146,충남 태안군 소원면 의항리 868,0.0,1,0,4.0,4.0,4.0,4.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
35,a_a001146,충남 태안군 소원면 모항리 1358,0.0,1,1,5.0,4.0,4.0,4.3333,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
36,a_a001146,충남 태안군 소원면 모항리 1358,0.0,1,1,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
42,a_a001711,충남 홍성군 홍북읍 신경리 887,0.0,2,1,5.0,4.0,5.0,4.6667,5.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,7.0,2.0,1.0,7.0,1;2;22;23;26;
