,Unnamed: 0,TRAVEL_ID,VISIT_AREA_ID,GENDER,INCOME,TRAVEL_MISSION,REL_CD,LODGING_TYPE_CD,TRAVEL_MISSION_1,TRAVEL_MISSION_2,TRAVEL_MISSION_3,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,COMPANION_AGE_GRP,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,LOTNO_ADDR,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD
0,0,a_a000202,2208280003,2,0.0,2;,2.0,0.0,2,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0,4.0,3.0,3.0,3.3333,충남 천안시 동남구 북면 연춘리 243-40,11,127.253206,3677141931
1,1,a_a000202,2208280004,2,0.0,2;,2.0,0.0,2,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,4.0,4.0,4.0,4.0,충남 당진시 신평면 운정리 208-1,6,126.8223773,3689022833
2,2,a_a000202,2208280002,2,0.0,2;,2.0,0.0,2,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0,4.0,4.0,4.0,4.0,충남 천안시 동남구 목천읍 남화리 230-1,2,127.2228083,3678366949
3,3,a_a000202,2208270003,2,0.0,2;,2.0,0.0,2,0.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,2.0,3.0,3.0,2.6667,충남 천안시 동남구 성남면 용원리 672,6,127.2240807,3675740229
4,4,a_a000273,2209220003,1,12.0,0,7.0,0.0,0,0.0,0.0,3.0,1.0,10.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,5.0,0,4.0,4.0,4.0,4.0,충남 보령시 명천동 765-40,5,126.6222127,3632814011
5,5,a_a000273,2209220005,1,12.0,0,7.0,0.0,0,0.0,0.0,3.0,1.0,10.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,5.0,0,3.0,4.0,4.0,3.6667,충남 보령시 궁촌동 344-1,11,126.5882177,3634186088
6,8,a_a000319,2208270004,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,0,5.0,4.0,4.0,4.3333,전남 영암군 신북면 유곡리 73-9,11,126.6953506,3490126131
7,9,a_a000319,2208270007,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,0,5.0,5.0,5.0,5.0,광주 광산구 수완동 128-106,5,126.8340325,3519848589
8,10,a_a000319,2208270009,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,0,4.0,4.0,4.0,4.0,광주 광산구 산정동 1043,11,126.8020118,3517646817
9,11,a_a000319,2208260005,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,0,4.0,4.0,3.0,3.6667,광주 서구 치평동 1193-7,11,126.8467214,3516020221
10,12,a_a000319,2208270002,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,1,4.0,4.0,4.0,4.0,전남 강진군 성전면 월평리 38-8,11,126.7072049,3469119711
11,13,a_a000319,2208260004,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,0,5.0,5.0,5.0,5.0,광주 광산구 우산동 1585-5,11,126.8103261,351624771
12,15,a_a000319,2208270008,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,0,4.0,4.0,3.0,3.6667,광주 광산구 하남동 670,11,126.7997865,3517741454
13,17,a_a000319,2208260009,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,1,5.0,5.0,5.0,5.0,전남 강진군 강진읍 남성리 24-28,4,126.771668,346372608
14,18,a_a000319,2208270003,1,10.0,21;24;27;4;5;,9.0,0.0,21,24.0,27.0,9.0,1.0,2.0,3.0,4.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,5.0,1,4.0,4.0,3.0,3.6667,전남 영암군 신북면 모산리,7,126.6945359,3490114028
15,19,a_a000777,2209020004,1,7.0,21;4;9;,8.0,0.0,21,4.0,9.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,3.0,0,2.0,3.0,3.0,2.6667,전남 순천시 덕암동 227-1,4,127.5035482,3494380874
16,20,a_a000777,2209020006,1,7.0,21;4;9;,8.0,0.0,21,4.0,9.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,3.0,0,5.0,5.0,5.0,5.0,전남 순천시 풍덕동 285-5,11,127.5067543,349403918
17,21,a_a000777,2209040001,1,7.0,21;4;9;,8.0,0.0,21,4.0,9.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,3.0,0,3.0,3.0,3.0,3.0,전남 순천시 조곡동 156-11,11,127.5008947,3494597581
18,22,a_a000777,2209030002,1,7.0,21;4;9;,8.0,0.0,21,4.0,9.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,3.0,0,5.0,5.0,5.0,5.0,전남 순천시 대대동 162-2,1,127.509555,3488561199
19,23,a_a000777,2209030001,1,7.0,21;4;9;,8.0,0.0,21,4.0,9.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,3.0,0,5.0,4.0,4.0,4.3333,전남 순천시 조곡동 161-15,11,127.5026818,3494461636
20,24,a_a000777,2209030003,1,7.0,21;4;9;,8.0,0.0,21,4.0,9.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,3.0,0,5.0,5.0,5.0,5.0,전남 순천시 오천동 600,1,127.4989016,3492921833
21,25,a_a000777,2209030004,1,7.0,21;4;9;,8.0,0.0,21,4.0,9.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,6.0,2.0,3.0,0,4.0,4.0,4.0,4.0,전남 순천시 연향동 1676-16,11,127.5161537,3493321329
22,26,a_a001091,2208270005,1,7.0,0,7.0,0.0,0,0.0,0.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,0,4.0,4.0,4.0,4.0,충북 충주시 수안보면 온천리 211-1,11,127.9896435,3684634801
23,27,a_a001091,2208280005,1,7.0,0,7.0,0.0,0,0.0,0.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,1,4.0,4.0,4.0,4.0,충북 충주시 앙성면 조천리 295-1,11,127.8096055,3711069405
